kWh,Date,Time,kWh,Datetime,HourOfDay,Month,Day,Year,FiscalYear,DayOfWeek,Percent
39.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
39.7,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
39.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.0,3,3,3,3,3,3,3,3,3,3,0.00015625
40.2,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
40.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.7,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
40.8,3,3,3,3,3,3,3,3,3,3,0.00015625
40.9,3,3,3,3,3,3,3,3,3,3,0.00015625
41.0,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
41.1,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
41.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
41.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.4,6,6,6,6,6,6,6,6,6,6,0.0003125
41.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
41.7,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.0,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
42.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.2,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
42.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.4,3,3,3,3,3,3,3,3,3,3,0.00015625
42.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
42.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.8,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
42.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
43.0,6,6,6,6,6,6,6,6,6,6,0.0003125
43.1,3,3,3,3,3,3,3,3,3,3,0.00015625
43.2,10,10,10,10,10,10,10,10,10,10,0.0005208333333333333
43.3,3,3,3,3,3,3,3,3,3,3,0.00015625
43.4,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
43.5,9,9,9,9,9,9,9,9,9,9,0.00046875
43.6,3,3,3,3,3,3,3,3,3,3,0.00015625
43.7,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
43.8,3,3,3,3,3,3,3,3,3,3,0.00015625
43.9,3,3,3,3,3,3,3,3,3,3,0.00015625
44.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
44.2,3,3,3,3,3,3,3,3,3,3,0.00015625
44.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.5,3,3,3,3,3,3,3,3,3,3,0.00015625
44.6,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
44.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.8,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
44.9,3,3,3,3,3,3,3,3,3,3,0.00015625
45.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
45.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
45.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
45.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
45.5,3,3,3,3,3,3,3,3,3,3,0.00015625
45.6,3,3,3,3,3,3,3,3,3,3,0.00015625
45.7,3,3,3,3,3,3,3,3,3,3,0.00015625
45.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
46.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
46.2,3,3,3,3,3,3,3,3,3,3,0.00015625
46.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
46.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
47.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
47.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
48.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
48.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
48.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
48.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
50.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
50.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
52.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
53.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
54.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
55.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
55.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
55.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
56.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
57.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
57.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
58.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
58.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
58.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
58.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
59.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
60.0,3,3,3,3,3,3,3,3,3,3,0.00015625
60.1,3,3,3,3,3,3,3,3,3,3,0.00015625
60.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
60.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
60.9,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
61.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
61.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
61.3,3,3,3,3,3,3,3,3,3,3,0.00015625
61.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
61.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
61.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
61.7,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
61.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
61.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
62.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
62.2,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
62.5,3,3,3,3,3,3,3,3,3,3,0.00015625
62.6,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
62.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
63.1,3,3,3,3,3,3,3,3,3,3,0.00015625
63.2,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
63.3,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
63.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
63.5,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
63.6,13,13,13,13,13,13,13,13,13,13,0.0006770833333333334
63.7,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
63.8,14,14,14,14,14,14,14,14,14,14,0.0007291666666666667
63.9,19,19,19,19,19,19,19,19,19,19,0.0009895833333333334
64.0,26,26,26,26,26,26,26,26,26,26,0.0013541666666666667
64.1,21,21,21,21,21,21,21,21,21,21,0.00109375
64.2,17,17,17,17,17,17,17,17,17,17,0.0008854166666666666
64.3,22,22,22,22,22,22,22,22,22,22,0.0011458333333333333
64.4,20,20,20,20,20,20,20,20,20,20,0.0010416666666666667
64.5,18,18,18,18,18,18,18,18,18,18,0.0009375
64.6,17,17,17,17,17,17,17,17,17,17,0.0008854166666666666
64.7,13,13,13,13,13,13,13,13,13,13,0.0006770833333333334
64.8,16,16,16,16,16,16,16,16,16,16,0.0008333333333333334
64.9,22,22,22,22,22,22,22,22,22,22,0.0011458333333333333
65.0,9,9,9,9,9,9,9,9,9,9,0.00046875
65.1,8,8,8,8,8,8,8,8,8,8,0.0004166666666666667
65.2,8,8,8,8,8,8,8,8,8,8,0.0004166666666666667
65.3,3,3,3,3,3,3,3,3,3,3,0.00015625
65.4,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
65.5,3,3,3,3,3,3,3,3,3,3,0.00015625
65.6,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
65.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
65.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
65.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
66.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
66.2,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
66.3,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
66.4,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
66.5,6,6,6,6,6,6,6,6,6,6,0.0003125
66.6,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
66.7,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
66.8,6,6,6,6,6,6,6,6,6,6,0.0003125
66.9,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
67.0,3,3,3,3,3,3,3,3,3,3,0.00015625
67.1,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
67.2,6,6,6,6,6,6,6,6,6,6,0.0003125
67.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
67.4,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
67.5,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
67.6,3,3,3,3,3,3,3,3,3,3,0.00015625
67.7,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
67.8,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
67.9,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
68.0,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
68.1,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
68.2,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
68.3,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
68.4,8,8,8,8,8,8,8,8,8,8,0.0004166666666666667
68.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
68.6,3,3,3,3,3,3,3,3,3,3,0.00015625
68.7,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
68.8,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
68.9,8,8,8,8,8,8,8,8,8,8,0.0004166666666666667
69.0,13,13,13,13,13,13,13,13,13,13,0.0006770833333333334
69.1,12,12,12,12,12,12,12,12,12,12,0.000625
69.2,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
69.3,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
69.4,18,18,18,18,18,18,18,18,18,18,0.0009375
69.5,12,12,12,12,12,12,12,12,12,12,0.000625
69.6,12,12,12,12,12,12,12,12,12,12,0.000625
69.7,15,15,15,15,15,15,15,15,15,15,0.00078125
69.8,12,12,12,12,12,12,12,12,12,12,0.000625
69.9,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
70.0,14,14,14,14,14,14,14,14,14,14,0.0007291666666666667
70.1,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
70.2,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
70.3,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
70.4,3,3,3,3,3,3,3,3,3,3,0.00015625
70.5,3,3,3,3,3,3,3,3,3,3,0.00015625
70.6,3,3,3,3,3,3,3,3,3,3,0.00015625
70.8,3,3,3,3,3,3,3,3,3,3,0.00015625
71.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
71.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
71.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
71.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
71.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
71.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
71.7,3,3,3,3,3,3,3,3,3,3,0.00015625
71.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
71.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
72.0,3,3,3,3,3,3,3,3,3,3,0.00015625
72.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
72.2,3,3,3,3,3,3,3,3,3,3,0.00015625
72.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
72.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
72.5,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
72.6,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
72.8,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
72.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
73.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
73.1,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
73.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
73.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
73.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
73.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
73.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
73.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
73.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
74.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
74.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
74.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
74.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
74.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
74.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
75.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
75.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
75.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
75.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
75.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
75.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
75.9,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
76.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
76.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
76.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
76.4,3,3,3,3,3,3,3,3,3,3,0.00015625
76.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
76.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
76.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
77.0,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
77.1,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
77.2,3,3,3,3,3,3,3,3,3,3,0.00015625
77.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
77.5,3,3,3,3,3,3,3,3,3,3,0.00015625
77.7,3,3,3,3,3,3,3,3,3,3,0.00015625
77.8,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
77.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
78.0,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
78.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
78.2,3,3,3,3,3,3,3,3,3,3,0.00015625
78.3,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
78.4,14,14,14,14,14,14,14,14,14,14,0.0007291666666666667
78.5,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
78.6,8,8,8,8,8,8,8,8,8,8,0.0004166666666666667
78.7,6,6,6,6,6,6,6,6,6,6,0.0003125
78.8,8,8,8,8,8,8,8,8,8,8,0.0004166666666666667
78.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
79.0,3,3,3,3,3,3,3,3,3,3,0.00015625
79.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
79.2,6,6,6,6,6,6,6,6,6,6,0.0003125
79.3,3,3,3,3,3,3,3,3,3,3,0.00015625
79.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
79.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
79.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
79.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
79.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
80.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
80.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
80.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
80.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
80.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
81.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
81.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
81.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
81.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
81.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
81.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
81.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
82.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
82.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
82.2,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
82.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
82.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
82.5,3,3,3,3,3,3,3,3,3,3,0.00015625
82.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
82.7,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
82.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
82.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
83.1,3,3,3,3,3,3,3,3,3,3,0.00015625
83.2,6,6,6,6,6,6,6,6,6,6,0.0003125
83.3,3,3,3,3,3,3,3,3,3,3,0.00015625
83.4,3,3,3,3,3,3,3,3,3,3,0.00015625
83.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
83.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
83.8,3,3,3,3,3,3,3,3,3,3,0.00015625
83.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
84.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
84.1,3,3,3,3,3,3,3,3,3,3,0.00015625
84.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
84.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
84.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
84.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
85.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
85.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
85.7,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
85.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
85.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
86.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
87.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
87.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
88.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
